79.137.200.0/23,"ASN 201974"
89.208.160.0/23,"ASN 216365"
89.208.174.0/23,"ASN 216365"
89.208.194.0/23,"ASN 216365"
92.38.212.0/23,"ASN 216365"
2001:67c:73c::/48,"ASN 216365"
