103.40.84.0/23,"Blocked AS132057"
103.114.228.0/24,"Blocked AS134920"
103.210.194.0/23,"Blocked AS134920"
146.242.24.0/24,"Blocked AS24012"
146.242.36.0/24,"Blocked AS24012"
146.242.62.0/23,"Blocked AS24012"
155.46.32.0/22,"Blocked AS24012"
155.46.39.0/24,"Blocked AS24012"
155.46.47.0/24,"Blocked AS24012"
159.220.16.0/21,"Blocked AS24012"
159.220.76.0/23,"Blocked AS24012"
159.220.96.0/24,"Blocked AS24012"
159.220.235.0/24,"Blocked AS24012"
159.220.240.0/24,"Blocked AS24012"
192.165.214.0/23,"Blocked AS24012"
198.80.129.0/24,"Blocked AS23940"
