64.6.66.0/24,"ASN 29966"
69.36.144.0/24,"ASN 396828"
72.13.34.0/24,"ASN 396828"
81.19.195.0/24,"ASN 397203"
185.100.0.0/24,"ASN 36631"
192.5.6.0/24,"ASN 396574"
192.12.94.0/24,"ASN 396574"
192.26.92.0/24,"ASN 396574"
192.30.45.0/24,"ASN 397203"
192.31.80.0/24,"ASN 396574"
192.33.14.0/24,"ASN 397207"
192.34.234.0/24,"ASN 396574"
192.35.51.0/24,"ASN 36631"
192.41.162.0/24,"ASN 396566"
192.42.93.0/24,"ASN 36631"
192.42.173.0/24,"ASN 396544"
192.42.174.0/24,"ASN 36631"
192.42.175.0/24,"ASN 396574"
192.42.176.0/24,"ASN 396574"
192.42.177.0/24,"ASN 396544"
192.42.178.0/24,"ASN 36631"
192.43.172.0/24,"ASN 36631"
192.48.79.0/24,"ASN 396566"
192.52.178.0/24,"ASN 396566"
192.54.112.0/24,"ASN 36631"
192.55.83.0/24,"ASN 396566"
192.58.128.0/24,"ASN 396544"
192.68.126.0/24,"ASN 396574"
192.68.130.0/24,"ASN 397203"
192.81.185.0/24,"ASN 396574"
192.82.133.0/24,"ASN 396574"
192.82.134.0/24,"ASN 396574"
192.153.247.0/24,"ASN 397203"
198.17.208.0/24,"ASN 396574"
198.41.0.0/24,"ASN 396574"
199.7.63.0/24,"ASN 26415"
199.7.71.0/24,"ASN 396544"
209.112.116.0/24,"ASN 396828"
209.112.120.0/24,"ASN 396828"
209.112.127.0/24,"ASN 36631"
216.87.145.0/24,"ASN 396544"
216.168.224.0/24,"ASN 396828"
216.168.228.0/24,"ASN 396574"
2001:500:120::/48,"ASN 396542"
2001:500:121::/48,"ASN 397203"
2001:500:122::/48,"ASN 397195"
2001:500:123::/48,"ASN 397203"
2001:500:124::/48,"ASN 396542"
2001:500:125::/48,"ASN 397203"
2001:500:126::/48,"ASN 397195"
2001:500:127::/48,"ASN 397203"
2001:500:133::/48,"ASN 396542"
2001:500:134::/48,"ASN 397203"
2001:500:135::/48,"ASN 397195"
2001:500:30ff::/48,"ASN 397203"
2001:500:7967::/48,"ASN 397195"
2001:500:856e::/48,"ASN 396555"
2001:500:d937::/48,"ASN 397195"
2001:501:8a29::/48,"ASN 397203"
2001:501:b1f9::/48,"ASN 397195"
2001:502:8cc::/48,"ASN 397203"
2001:502:1ca1::/48,"ASN 396555"
2001:502:7094::/48,"ASN 397195"
2001:502:cbe4::/48,"ASN 397195"
2001:503:c27::/48,"ASN 397203"
2001:503:d2d::/48,"ASN 397195"
2001:503:231d::/48,"ASN 36617"
2001:503:39c1::/48,"ASN 397203"
2001:503:83eb::/48,"ASN 396555"
2001:503:a83e::/48,"ASN 396555"
2001:503:ba3e::/48,"ASN 397203"
2001:503:d414::/48,"ASN 397203"
2001:503:eea3::/48,"ASN 397203"
2402:79c0:1126::/48,"ASN 396828"
2620:0:5050::/48,"ASN 397203"
2620:74:20::/48,"ASN 397203"
2620:74:21::/48,"ASN 397195"
2620:74:2a::/48,"ASN 397203"
2620:74:2b::/48,"ASN 36631"
2620:74:92::/48,"ASN 396828"
2a10:eec0:b::/48,"ASN 396828"
