110.44.16.0/24,"ASN 131174"
116.199.208.0/20,"ASN 55454"
118.148.0.0/20,"ASN 38793"
118.148.32.0/20,"ASN 38793"
118.148.48.0/21,"ASN 38793"
118.148.128.0/17,"ASN 38793"
118.149.0.0/20,"ASN 38793"
118.149.25.0/24,"ASN 38793"
118.149.32.0/19,"ASN 38793"
118.149.128.0/17,"ASN 38793"
123.100.64.0/18,"ASN 9889"
124.198.128.0/17,"ASN 9889"
182.23.176.0/21,"ASN 55454"
202.50.246.0/24,"ASN 55454"
202.89.32.0/19,"ASN 9889"
203.89.160.0/19,"ASN 9889"
210.55.214.0/24,"ASN 9889"
210.55.230.0/24,"ASN 9889"
2401:5c00::/32,"ASN 9889"
2404:1c00::/32,"ASN 55454"
2405:a400::/32,"ASN 38793"
