45.95.56.0/22,"ASN 208456"
46.243.180.0/23,"ASN 209974"
46.243.182.0/24,"ASN 209974"
46.243.184.0/23,"ASN 209974"
46.243.187.0/24,"ASN 209974"
77.105.148.0/24,"ASN 209974"
77.105.151.0/24,"ASN 214856"
77.105.152.0/22,"ASN 209974"
78.140.240.0/22,"ASN 209974"
78.140.244.0/22,"ASN 212675"
93.183.72.0/22,"ASN 209974"
93.183.78.0/24,"ASN 209974"
178.170.224.0/24,"ASN 209974"
185.5.206.0/23,"ASN 212675"
188.227.32.0/22,"ASN 209974"
195.88.192.0/23,"ASN 209974"
2a0e:aac0::/32,"ASN 209974"
