103.249.227.0/24,"Blocked AS132661"
116.193.188.0/23,"Blocked AS63515"
180.222.216.0/22,"Blocked AS45728"
203.119.13.0/24,"Blocked AS4622"
203.119.52.0/22,"Blocked AS4622"
2001:7fa:2:100::/64,"Blocked AS4622"
2001:dc6::/32,"Blocked AS4622"
2404:ef00::/32,"Blocked AS63515"
2406:6cc0:a100::/48,"Blocked AS63515"
2406:6cc0:a200::/48,"Blocked AS63515"
2406:6cc0:a300::/48,"Blocked AS63515"
2406:6cc0:a400::/48,"Blocked AS63515"
2406:6cc0:a500::/48,"Blocked AS63515"
2406:6cc0:a600::/48,"Blocked AS63515"
