96.8.90.0/24,"ASN 395473"
129.33.162.0/24,"ASN 19152"
129.34.0.0/18,"ASN 1747"
129.34.64.0/18,"ASN 27530"
129.34.128.0/17,"ASN 1747"
129.41.32.0/24,"ASN 393850"
129.41.46.0/23,"ASN 17390"
129.41.56.0/22,"ASN 17390"
129.41.86.0/23,"ASN 17390"
129.41.178.0/23,"ASN 23257"
170.224.144.0/21,"ASN 17390"
170.225.116.0/22,"ASN 17390"
170.225.122.0/23,"ASN 17390"
170.225.126.0/23,"ASN 17390"
170.225.221.0/24,"ASN 1786"
170.225.223.0/24,"ASN 547"
170.226.56.0/24,"ASN 19152"
192.86.31.0/24,"ASN 2538"
192.86.64.0/23,"ASN 26543"
192.147.88.0/22,"ASN 27477"
192.147.92.0/24,"ASN 27477"
192.148.6.0/24,"ASN 23145"
192.148.16.0/22,"ASN 17390"
198.180.207.0/24,"ASN 1747"
198.235.143.0/24,"ASN 19152"
199.164.149.0/24,"ASN 1747"
199.181.149.0/24,"ASN 1747"
199.185.26.0/24,"ASN 19152"
206.253.254.0/23,"ASN 15293"
207.231.140.0/22,"ASN 15293"
208.76.133.0/24,"ASN 19898"
209.95.224.0/19,"ASN 10676"
209.134.160.0/19,"ASN 15293"
216.86.224.0/20,"ASN 10676"
2620:1f7:100::/40,"ASN 17390"
2620:1f7:200::/40,"ASN 17390"
2620:1f7:500::/40,"ASN 17390"
2620:1f7:700::/46,"ASN 17390"
2620:1f7:800::/37,"ASN 17390"
2620:1f7:1000::/36,"ASN 17390"
2620:1f7:2800::/37,"ASN 17390"
2620:1f7:3800::/38,"ASN 17390"
2620:1f7:3d00::/40,"ASN 17390"
2620:1f7:c010::/48,"ASN 23145"
2620:1f7:c030::/48,"ASN 17390"
2620:1f7:c040::/48,"ASN 17390"
