159.90.0.0/16,"ASN 11694"
190.144.176.0/24,"ASN 264718"
200.10.174.0/23,"ASN 264718"
2800:480::/33,"ASN 264718"
2800:480:8000::/34,"ASN 264718"
2800:480:c000::/35,"ASN 264718"
2800:480:e000::/36,"ASN 264718"
2800:480:f000::/37,"ASN 264718"
2800:480:f800::/38,"ASN 264718"
2800:480:fc00::/39,"ASN 264718"
2800:480:fe00::/40,"ASN 264718"
2800:480:ff00::/42,"ASN 264718"
2800:480:ff40::/44,"ASN 264718"
2800:480:ff51::/48,"ASN 264718"
2800:480:ff53::/48,"ASN 264718"
2800:480:ff59::/48,"ASN 264718"
2800:480:ff5a::/47,"ASN 264718"
2800:480:ff5c::/46,"ASN 264718"
2800:480:ff60::/43,"ASN 264718"
2800:480:ff80::/41,"ASN 264718"
2801:1d:9000::/48,"ASN 264718"
