45.91.16.0/22,"ASN 208638"
51.163.158.0/23,"ASN 39588"
62.140.7.0/24,"ASN 39588"
62.140.10.0/24,"ASN 39588"
91.220.42.0/24,"ASN 42427"
147.28.34.0/23,"ASN 39588"
170.10.141.0/24,"ASN 60492"
185.58.84.0/22,"ASN 42427"
193.7.204.0/23,"ASN 42427"
193.7.206.0/23,"ASN 60492"
194.104.108.0/22,"ASN 39588"
195.130.217.0/24,"ASN 42427"
207.82.80.0/24,"ASN 42427"
213.167.75.0/24,"ASN 60492"
213.167.81.0/24,"ASN 60492"
216.35.243.0/24,"ASN 42427"
216.35.244.0/24,"ASN 42427"
2a02:5be0::/47,"ASN 42427"
2a02:5be0:2::/47,"ASN 39588"
