94.126.184.0/21,"Blocked AS199202"
94.143.152.0/22,"Blocked AS49073"
94.143.156.0/24,"Blocked AS49073"
94.143.158.0/24,"Blocked AS49073"
178.22.184.0/21,"Blocked AS50891"
194.247.28.0/23,"Blocked AS50891"
