45.230.64.0/22,"ASN 266702"
190.14.64.0/22,"ASN 22541"
190.14.68.0/24,"ASN 22541"
190.14.71.0/24,"ASN 22541"
190.14.72.0/23,"ASN 22541"
190.14.74.0/24,"ASN 22541"
190.14.77.0/24,"ASN 22541"
190.14.80.0/22,"ASN 22541"
190.14.90.0/23,"ASN 22541"
190.14.92.0/23,"ASN 22541"
190.14.100.0/24,"ASN 22541"
190.14.101.0/24,"ASN 272913"
190.14.102.0/23,"ASN 22541"
190.14.104.0/22,"ASN 22541"
190.14.108.0/23,"ASN 22541"
190.14.111.0/24,"ASN 22541"
190.14.112.0/23,"ASN 22541"
190.14.126.0/23,"ASN 22541"
200.75.160.0/20,"ASN 22541"
200.85.141.0/24,"ASN 204655"
2803:7680::/35,"ASN 22541"
2803:7680:3000::/36,"ASN 22541"
2803:7680:4000::/34,"ASN 22541"
2803:7680:9000::/36,"ASN 22541"
2803:7680:a000::/35,"ASN 22541"
2803:7680:d000::/36,"ASN 22541"
2803:7680:e000::/35,"ASN 22541"
