39.34.160.0/21,"ASN 141450"
39.34.168.0/21,"ASN 141031"
39.34.184.0/21,"ASN 141031"
59.103.216.0/21,"ASN 141031"
111.88.0.0/23,"ASN 141031"
113.203.192.0/24,"ASN 141031"
113.203.194.0/24,"ASN 141031"
113.203.196.0/22,"ASN 141031"
115.186.2.0/23,"ASN 141031"
115.186.76.0/22,"ASN 141031"
118.103.224.0/23,"ASN 141031"
182.189.92.0/22,"ASN 149844"
2406:d00:ccc5::/48,"ASN 149844"
2406:d00:ee00::/47,"ASN 141031"
2406:d00:ee0b::/48,"ASN 141031"
2406:d00:ee0d::/48,"ASN 141031"
2406:d00:ee0f::/48,"ASN 141031"
2406:d00:ee55::/48,"ASN 141031"
