118.229.33.0/24,"ASN 144704"
118.229.40.0/21,"ASN 38255"
2001:253::/39,"ASN 38272"
2001:253:200::/48,"ASN 38272"
2001:253:201::/48,"ASN 142067"
2001:253:202::/48,"ASN 142068"
2001:253:203::/48,"ASN 142069"
2001:253:204::/48,"ASN 142070"
2001:253:205::/48,"ASN 142071"
2001:253:206::/48,"ASN 142072"
2001:253:207::/48,"ASN 142073"
2001:253:208::/48,"ASN 142074"
2001:253:209::/48,"ASN 142075"
2001:253:20a::/47,"ASN 38272"
2001:253:20c::/46,"ASN 38272"
2001:253:210::/48,"ASN 142076"
2001:253:211::/48,"ASN 142077"
2001:253:212::/48,"ASN 142078"
2001:253:213::/48,"ASN 142079"
2001:253:214::/48,"ASN 142080"
2001:253:215::/48,"ASN 142081"
2001:253:216::/48,"ASN 142082"
2001:253:217::/48,"ASN 142083"
2001:253:218::/48,"ASN 142084"
2001:253:219::/48,"ASN 142085"
2001:253:21a::/47,"ASN 38272"
2001:253:21c::/46,"ASN 38272"
2001:253:220::/48,"ASN 142086"
2001:253:221::/48,"ASN 142087"
2001:253:222::/48,"ASN 142088"
2001:253:223::/48,"ASN 142089"
2001:253:224::/48,"ASN 142090"
2001:253:225::/48,"ASN 142091"
2001:253:226::/48,"ASN 142092"
2001:253:227::/48,"ASN 142093"
2001:253:228::/48,"ASN 142094"
2001:253:229::/48,"ASN 142095"
2001:253:22a::/47,"ASN 38272"
2001:253:22c::/46,"ASN 38272"
2001:253:230::/48,"ASN 142096"
2001:253:231::/48,"ASN 142097"
2001:253:232::/48,"ASN 142098"
2001:253:233::/48,"ASN 142099"
2001:253:234::/48,"ASN 142100"
2001:253:235::/48,"ASN 142101"
2001:253:236::/48,"ASN 142102"
2001:253:237::/48,"ASN 38272"
2001:253:238::/48,"ASN 142104"
2001:253:239::/48,"ASN 142105"
2001:253:23a::/47,"ASN 38272"
2001:253:23c::/46,"ASN 38272"
2001:253:240::/48,"ASN 142106"
2001:253:241::/48,"ASN 38272"
2001:253:242::/47,"ASN 38272"
2001:253:244::/46,"ASN 38272"
2001:253:248::/45,"ASN 38272"
2001:253:250::/44,"ASN 38272"
2001:253:260::/43,"ASN 38272"
2001:253:280::/41,"ASN 38272"
2001:253:300::/40,"ASN 38272"
2001:253:400::/38,"ASN 38272"
2001:253:800::/37,"ASN 38272"
2001:253:1000::/36,"ASN 38272"
2001:253:2000::/35,"ASN 38272"
2001:253:4000::/34,"ASN 38272"
2001:253:8000::/33,"ASN 38272"
2001:255::/32,"ASN 38255"
240a:a027:1::/48,"ASN 142689"
2a0e:aa06:49f::/48,"ASN 38255"
2a0e:b107:740::/44,"ASN 38255"
