193.57.46.0/24,"ASN 49559"
193.57.47.0/24,"ASN 50263"
2a0c:d540::/36,"ASN 50263"
2a0c:d540:1000::/40,"ASN 50263"
2a0c:d540:1100::/44,"ASN 50263"
2a0c:d540:1110::/48,"ASN 50263"
2a0c:d540:1112::/47,"ASN 50263"
2a0c:d540:1114::/46,"ASN 50263"
2a0c:d540:1118::/45,"ASN 50263"
2a0c:d540:1120::/43,"ASN 50263"
2a0c:d540:1140::/42,"ASN 50263"
2a0c:d540:1180::/41,"ASN 50263"
2a0c:d540:1200::/39,"ASN 50263"
2a0c:d540:1400::/38,"ASN 50263"
2a0c:d540:1800::/37,"ASN 50263"
2a0c:d540:2000::/35,"ASN 50263"
2a0c:d540:4000::/34,"ASN 50263"
2a0c:d540:8000::/34,"ASN 50263"
2a0c:d540:c000::/35,"ASN 50263"
2a0c:d540:e000::/36,"ASN 50263"
2a0c:d540:f000::/37,"ASN 50263"
2a0c:d540:f800::/38,"ASN 50263"
2a0c:d540:fc00::/39,"ASN 50263"
2a0c:d540:ff00::/40,"ASN 50263"
