12.109.79.0/24,"ASN 394633"
64.29.240.0/24,"ASN 27279"
64.29.241.0/24,"ASN 397575"
64.29.242.0/23,"ASN 397575"
64.29.244.0/22,"ASN 397575"
64.29.248.0/23,"ASN 397575"
64.29.250.0/24,"ASN 27279"
64.29.251.0/24,"ASN 397575"
64.29.252.0/22,"ASN 397575"
72.48.126.0/24,"ASN 14997"
192.206.56.0/24,"ASN 3791"
198.186.69.0/24,"ASN 3791"
198.186.72.0/21,"ASN 397575"
198.186.80.0/20,"ASN 397575"
198.186.96.0/20,"ASN 397575"
198.186.112.0/21,"ASN 397575"
199.4.216.0/23,"ASN 19063"
199.47.16.0/24,"ASN 3791"
199.47.17.0/24,"ASN 397575"
199.47.18.0/24,"ASN 3791"
199.47.19.0/24,"ASN 397575"
199.47.20.0/22,"ASN 397575"
199.47.24.0/23,"ASN 397575"
199.47.28.0/24,"ASN 3791"
199.47.29.0/24,"ASN 397575"
199.47.30.0/24,"ASN 3791"
199.47.31.0/24,"ASN 397575"
199.250.64.0/24,"ASN 397575"
199.250.65.0/24,"ASN 19124"
199.250.66.0/23,"ASN 19124"
199.250.68.0/23,"ASN 19124"
199.250.70.0/23,"ASN 397575"
199.250.72.0/23,"ASN 397575"
199.250.74.0/24,"ASN 397575"
199.250.75.0/24,"ASN 19124"
199.250.76.0/22,"ASN 397575"
199.250.80.0/23,"ASN 19124"
199.250.82.0/23,"ASN 397575"
199.250.84.0/22,"ASN 397575"
199.250.88.0/21,"ASN 397575"
199.250.96.0/22,"ASN 19124"
199.250.100.0/24,"ASN 19124"
199.250.101.0/24,"ASN 397575"
199.250.102.0/23,"ASN 397575"
199.250.104.0/21,"ASN 397575"
199.250.112.0/20,"ASN 397575"
204.61.207.0/24,"ASN 33595"
