89.33.135.0/24,"ASN 209375"
91.242.78.0/23,"ASN 43094"
91.242.80.0/24,"ASN 35346"
91.242.84.0/24,"ASN 43094"
91.242.85.0/24,"ASN 35346"
91.242.99.0/24,"ASN 35346"
91.242.102.0/24,"ASN 35346"
91.242.112.0/21,"ASN 35346"
91.242.120.0/23,"ASN 35346"
91.242.122.0/24,"ASN 35346"
194.114.144.0/24,"ASN 35346"
2a05:9a40::/32,"ASN 204868"
2a05:9a41::/32,"ASN 204872"
2a05:9a42::/32,"ASN 209868"
2a05:9a43::/32,"ASN 209896"
2a07:5540::/29,"ASN 35346"
2a09:4440::/29,"ASN 35346"
2a09:57c0::/29,"ASN 205884"
2a09:59c0::/29,"ASN 205884"
2a09:5bc0::/29,"ASN 205884"
2a0b:a4c0::/32,"ASN 206750"
2a0b:a4c1::/32,"ASN 209396"
2a0b:a4c2::/32,"ASN 209982"
2a0e:b00::/29,"ASN 205884"
2a0e:2800::/29,"ASN 205884"
2a0f:63c1::/32,"ASN 41171"
2a0f:63c2::/32,"ASN 202511"
2a0f:63c5::/32,"ASN 206085"
2a0f:63c6::/32,"ASN 42881"
2a10:b40::/32,"ASN 206847"
2a10:b44::/32,"ASN 39690"
2a10:3c81::/32,"ASN 203624"
2a10:3c83::/32,"ASN 202469"
2a10:3c85::/32,"ASN 60581"
2a10:3c86::/32,"ASN 59841"
2a13:be40::/32,"ASN 39690"
2a13:be41::/32,"ASN 44589"
