5.61.200.0/21,"ASN 198885"
89.29.128.0/24,"ASN 41368"
89.29.130.0/23,"ASN 41368"
89.29.132.0/24,"ASN 41368"
89.29.134.0/23,"ASN 41368"
89.29.136.0/21,"ASN 41368"
89.29.144.0/22,"ASN 41368"
89.29.148.0/23,"ASN 41368"
89.29.151.0/24,"ASN 41368"
89.29.152.0/23,"ASN 41368"
89.29.154.0/24,"ASN 41368"
89.29.156.0/22,"ASN 41368"
89.29.232.0/24,"ASN 41368"
89.29.234.0/23,"ASN 41368"
89.29.236.0/22,"ASN 41368"
89.29.254.0/24,"ASN 41368"
176.57.104.0/21,"ASN 41368"
185.40.37.0/24,"ASN 41368"
185.40.38.0/23,"ASN 41368"
185.62.22.0/23,"ASN 201234"
185.64.243.0/24,"ASN 41368"
