62.204.37.0/24,"ASN 198231"
2a05:f683::/32,"ASN 214168"
2a05:f684::/32,"ASN 216157"
2a05:f685::/32,"ASN 58285"
2a05:f687::/32,"ASN 215158"
2a0f:9400:6300::/40,"ASN 58285"
2a11:d440::/29,"ASN 58285"
2a11:ef40::/29,"ASN 58285"
2a11:fbc0::/29,"ASN 58285"
2a12:ac0::/29,"ASN 58285"
2a12:2a40::/29,"ASN 58285"
2a12:33c0::/29,"ASN 58285"
2a12:3b00::/29,"ASN 58285"
2a12:3b80::/29,"ASN 58285"
2a12:4d00::/29,"ASN 58285"
2a12:4f80::/29,"ASN 58285"
2a12:5a80::/29,"ASN 58285"
2a12:6e80::/29,"ASN 58285"
2a12:9c00::/29,"ASN 58285"
2a12:a400::/29,"ASN 58285"
2a12:b980::/29,"ASN 58285"
2a12:cd80::/29,"ASN 58285"
2a12:dd80::/29,"ASN 58285"
2a12:ef80::/29,"ASN 58285"
2a12:f000::/29,"ASN 58285"
2a12:f400::/29,"ASN 58285"
