5.145.180.0/23,"ASN 140079"
89.38.60.0/24,"ASN 26324"
89.42.144.0/24,"ASN 26324"
98.100.124.0/23,"ASN 26324"
185.11.92.0/24,"ASN 203483"
185.11.94.0/23,"ASN 203483"
185.132.76.0/23,"ASN 203483"
185.132.78.0/23,"ASN 26324"
185.153.204.0/24,"ASN 26324"
185.181.96.0/24,"ASN 26324"
185.181.99.0/24,"ASN 26324"
185.207.93.0/24,"ASN 203483"
185.207.94.0/23,"ASN 26324"
198.233.176.0/24,"ASN 26324"
204.77.162.0/23,"ASN 26324"
208.65.204.0/24,"ASN 36501"
208.65.206.0/24,"ASN 26324"
2620:13f:a002::/48,"ASN 26324"
2620:13f:a004::/48,"ASN 26324"
2a0c:9680:2::/47,"ASN 203483"
