185.84.159.0/24,"ASN 24947"
188.209.155.0/24,"ASN 31732"
194.88.232.0/24,"ASN 58232"
196.3.91.0/24,"ASN 31732"
2001:16c0::/36,"ASN 31732"
2001:16c0:1000::/38,"ASN 31732"
2001:16c0:1400::/39,"ASN 31732"
2001:16c0:1600::/41,"ASN 31732"
2001:16c0:1680::/42,"ASN 31732"
2001:16c0:16c1::/48,"ASN 31732"
2001:16c0:16c2::/47,"ASN 31732"
2001:16c0:16c4::/46,"ASN 31732"
2001:16c0:16c8::/45,"ASN 31732"
2001:16c0:16d0::/44,"ASN 31732"
2001:16c0:16e0::/43,"ASN 31732"
2001:16c0:1700::/40,"ASN 31732"
2001:16c0:1800::/37,"ASN 31732"
2001:16c0:2000::/35,"ASN 31732"
2001:16c0:4000::/34,"ASN 31732"
2001:16c0:8000::/33,"ASN 31732"
2001:16c1::/32,"ASN 31732"
2001:16c2::/31,"ASN 31732"
2001:16c4::/30,"ASN 31732"
